ALOCAL,ETICHET,ARUMOR,BIOLOG,QTSALE,USAGETT,ETAMi,TRASPO,USOCEL,POLITI,PUNTIFI12,SNACK,PROIND,RELPAR,FIDU2,RPNUC2,BGAS,PUNTIFI3,GCARTE,INTATT30A,UFFPOS,ALCOL,COSPO,GOSPO,INTTEMPO,SICURO,INTATT28B,VOTOVI,FRUTTA,NTELCELM,DOPFIL,FIDSCIE,PCTEMPO,FIDMED,BANCM,VERD,FIDU1,FIDINF,NCOMP,BFPAS,STCIVMi,COUSL,PCOPE_FILE,PCOPEPH,SALUMI,USOAUT,CORAR,LIQUOR,GOUSL,VGIOC,COM_STUD,INTATT7BN,PWEB,LIBFAM,COV,PUNTIFI10,CAMCLI,TELCEL,GORAR,LIMITA,LIBRI,AMICI,MATDID,LAVPAS,USOSS
4.0,1.0,1.0,2.0,3.0,1.0,10,1.0,1.0,2.0,8.0,5.0,3,6,1.0,3,4.0,8.0,4.0,8.0,1.0,5.0,7.0,5.0,1.0,1.0,4.0,5.0,2.0,3.0,4.0,6.0,1.0,7.0,2.0,2.0,1.0,7.0,3,4.0,1.0,1.0,4.0,4.0,4.0,5.0,7.0,6.0,1.0,2,6.0,5.0,1.0,5,4.0,5.0,0,2,5.0,2.0,1.0,2.0,4.0,2.0,2.0
2.0,1.0,1.0,2.0,2.0,3.0,10,2.0,1.0,6.0,4.0,3.0,1,1,3.0,1,4.0,4.0,4.0,8.0,2.0,4.0,6.0,5.0,1.0,3.0,4.0,8.0,1.0,1.0,4.0,5.0,1.0,5.0,2.0,1.0,4.0,5.0,4,3.0,3.0,7.0,4.0,4.0,1.0,1.0,6.0,6.0,5.0,2,6.0,6.0,1.0,5,1.0,0.0,0,2,5.0,3.0,2.0,5.0,4.0,2.0,2.0
2.0,1.0,4.0,4.0,2.0,2.0,15,1.0,1.0,3.0,10.0,5.0,1,1,1.0,2,6.0,10.0,4.0,7.0,1.0,6.0,2.0,2.0,4.0,3.0,3.0,5.0,1.0,3.0,4.0,10.0,4.0,10.0,2.0,3.0,2.0,10.0,3,4.0,2.0,2.0,3.0,3.0,5.0,5.0,4.0,6.0,4.0,1,5.0,5.0,1.0,3,5.0,0.0,1,2,4.0,1.0,1.0,1.0,3.0,2.0,2.0
1.0,1.0,1.0,1.0,3.0,3.0,14,1.0,1.0,6.0,10.0,5.0,2,2,1.0,1,6.0,10.0,4.0,7.0,1.0,6.0,4.0,2.0,4.0,5.0,3.0,9.0,2.0,3.0,4.0,2.0,4.0,7.0,1.0,2.0,1.0,7.0,3,4.0,2.0,4.0,3.0,3.0,3.0,5.0,4.0,6.0,3.0,1,5.0,5.0,1.0,3,4.0,0.0,0,2,3.0,3.0,2.0,2.0,3.0,2.0,1.0
1.0,1.0,1.0,1.0,3.0,3.0,9,4.0,1.0,1.0,10.0,5.0,3,10,1.0,0,6.0,10.0,4.0,7.0,2.0,6.0,4.0,4.0,1.0,3.0,4.0,8.0,2.0,3.0,4.0,3.0,1.0,10.0,2.0,3.0,3.0,10.0,3,4.0,1.0,4.0,3.0,4.0,5.0,1.0,4.0,6.0,4.0,1,5.0,6.0,2.0,3,5.0,0.0,0,2,3.0,3.0,1.0,2.0,3.0,2.0,2.0
2.0,2.0,4.0,3.0,3.0,3.0,12,1.0,1.0,5.0,10.0,3.0,1,1,1.0,2,4.0,9.0,3.0,7.0,1.0,6.0,3.0,5.0,1.0,1.0,3.0,9.0,2.0,5.0,3.0,10.0,4.0,10.0,2.0,2.0,1.0,8.0,5,4.0,2.0,6.0,3.0,3.0,3.0,1.0,1.0,6.0,5.0,2,5.0,5.0,1.0,4,5.0,6.0,1,2,5.0,3.0,1.0,3.0,3.0,2.0,1.0
2.0,1.0,4.0,3.0,3.0,3.0,11,2.0,1.0,1.0,10.0,4.0,2,2,1.0,1,6.0,10.0,3.0,7.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,9.0,2.0,5.0,4.0,10.0,4.0,8.0,2.0,3.0,1.0,8.0,5,4.0,2.0,1.0,3.0,3.0,4.0,1.0,3.0,6.0,1.0,2,5.0,5.0,1.0,4,5.0,5.0,1,2,2.0,3.0,2.0,2.0,3.0,2.0,2.0
2.0,3.0,3.0,4.0,3.0,1.0,6,2.0,1.0,4.0,10.0,4.0,3,6,1.0,3,4.0,10.0,1.0,8.0,1.0,5.0,7.0,5.0,1.0,4.0,4.0,7.0,4.0,5.0,2.0,7.0,1.0,9.0,2.0,4.0,1.0,10.0,5,3.0,1.0,7.0,4.0,4.0,3.0,2.0,7.0,6.0,5.0,2,6.0,5.0,1.0,4,4.0,7.0,1,2,4.0,3.0,1.0,3.0,4.0,2.0,1.0
3.0,2.0,3.0,3.0,3.0,3.0,9,1.0,1.0,4.0,10.0,5.0,4,6,2.0,3,4.0,8.0,4.0,8.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,7.0,2.0,5.0,4.0,9.0,1.0,9.0,2.0,1.0,2.0,9.0,5,3.0,1.0,2.0,3.0,4.0,4.0,1.0,2.0,4.0,3.0,2,6.0,6.0,2.0,4,4.0,6.0,1,2,3.0,3.0,1.0,2.0,4.0,2.0,2.0
3.0,3.0,4.0,2.0,2.0,3.0,8,2.0,1.0,5.0,6.0,4.0,5,6,1.0,3,4.0,6.0,4.0,8.0,1.0,4.0,3.0,3.0,1.0,2.0,4.0,6.0,3.0,5.0,4.0,8.0,1.0,7.0,1.0,3.0,1.0,6.0,5,4.0,1.0,7.0,4.0,3.0,4.0,5.0,7.0,5.0,5.0,2,6.0,5.0,2.0,4,4.0,6.0,1,2,5.0,3.0,2.0,3.0,3.0,1.0,1.0
4.0,4.0,4.0,4.0,2.0,1.0,15,4.0,6.0,2.0,5.0,5.0,1,1,1.0,0,6.0,5.0,4.0,7.0,2.0,6.0,1.0,2.0,4.0,2.0,3.0,5.0,2.0,1.0,4.0,7.0,4.0,8.0,2.0,3.0,2.0,8.0,1,4.0,6.0,7.0,3.0,3.0,3.0,5.0,7.0,6.0,5.0,1,5.0,5.0,1.0,1,3.0,5.0,0,2,5.0,1.0,1.0,5.0,3.0,2.0,1.0
3.0,1.0,4.0,2.0,3.0,2.0,15,4.0,6.0,1.0,7.0,5.0,1,1,1.0,0,6.0,7.0,4.0,7.0,1.0,6.0,7.0,5.0,4.0,6.0,3.0,4.0,1.0,1.0,4.0,7.0,4.0,7.0,2.0,2.0,1.0,7.0,1,4.0,6.0,7.0,3.0,3.0,5.0,5.0,7.0,6.0,2.0,1,5.0,5.0,1.0,7,5.0,7.0,1,2,5.0,1.0,2.0,5.0,3.0,1.0,2.0
3.0,3.0,2.0,3.0,2.0,2.0,15,4.0,2.0,2.0,7.0,4.0,1,1,2.0,2,4.0,7.0,4.0,7.0,2.0,5.0,6.0,5.0,3.0,2.0,3.0,9.0,3.0,2.0,4.0,9.0,3.0,6.0,2.0,4.0,2.0,6.0,2,4.0,2.0,7.0,3.0,3.0,4.0,4.0,7.0,6.0,5.0,1,5.0,5.0,1.0,7,4.0,7.0,0,2,5.0,2.0,2.0,5.0,3.0,2.0,1.0
2.0,2.0,4.0,2.0,2.0,1.0,15,4.0,3.0,6.0,6.0,3.0,2,2,2.0,1,4.0,6.0,3.0,7.0,1.0,6.0,6.0,5.0,4.0,5.0,3.0,8.0,2.0,2.0,4.0,7.0,4.0,7.0,2.0,3.0,2.0,7.0,2,4.0,2.0,7.0,3.0,3.0,4.0,5.0,6.0,6.0,5.0,1,5.0,5.0,1.0,7,5.0,5.0,0,2,5.0,2.0,1.0,6.0,3.0,2.0,1.0
4.0,1.0,1.0,3.0,3.0,2.0,11,4.0,1.0,4.0,9.0,4.0,1,1,2.0,1,5.0,7.0,4.0,7.0,1.0,6.0,6.0,2.0,1.0,2.0,3.0,8.0,2.0,2.0,1.0,8.0,4.0,9.0,2.0,2.0,3.0,9.0,2,4.0,3.0,6.0,3.0,3.0,3.0,2.0,6.0,6.0,2.0,2,5.0,5.0,1.0,3,3.0,4.0,1,2,2.0,3.0,2.0,3.0,3.0,2.0,1.0
4.0,2.0,2.0,4.0,1.0,2.0,9,4.0,1.0,2.0,9.0,5.0,2,6,2.0,3,4.0,6.0,3.0,8.0,2.0,5.0,6.0,1.0,1.0,2.0,4.0,9.0,3.0,2.0,4.0,8.0,1.0,8.0,1.0,5.0,3.0,8.0,2,3.0,1.0,6.0,4.0,4.0,3.0,2.0,6.0,5.0,2.0,2,5.0,5.0,2.0,3,3.0,1.0,0,2,2.0,3.0,1.0,3.0,3.0,2.0,1.0
2.0,1.0,1.0,2.0,3.0,1.0,14,4.0,1.0,4.0,7.0,5.0,1,1,1.0,0,4.0,6.0,4.0,7.0,1.0,6.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,1.0,4.0,6.0,4.0,6.0,2.0,2.0,2.0,6.0,1,4.0,6.0,1.0,3.0,3.0,3.0,5.0,1.0,6.0,1.0,1,6.0,5.0,1.0,4,3.0,3.0,1,2,2.0,2.0,1.0,5.0,3.0,2.0,1.0
2.0,1.0,1.0,1.0,2.0,3.0,11,4.0,1.0,1.0,10.0,5.0,1,1,1.0,0,6.0,10.0,4.0,8.0,2.0,6.0,1.0,2.0,1.0,1.0,3.0,8.0,2.0,1.0,4.0,8.0,1.0,8.0,2.0,2.0,1.0,8.0,1,4.0,1.0,1.0,4.0,4.0,5.0,1.0,6.0,6.0,2.0,1,6.0,6.0,2.0,3,3.0,10.0,1,2,2.0,3.0,2.0,7.0,4.0,2.0,1.0
4.0,4.0,1.0,4.0,1.0,3.0,11,4.0,1.0,2.0,9.0,5.0,1,1,2.0,2,6.0,6.0,4.0,7.0,1.0,5.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,3.0,9.0,2.0,3.0,3.0,9.0,3,3.0,2.0,4.0,3.0,4.0,3.0,1.0,4.0,6.0,2.0,2,5.0,5.0,2.0,5,5.0,6.0,1,2,2.0,3.0,1.0,2.0,3.0,2.0,1.0
4.0,2.0,1.0,4.0,2.0,3.0,10,4.0,1.0,6.0,5.0,4.0,2,2,3.0,1,6.0,5.0,4.0,7.0,2.0,5.0,4.0,2.0,1.0,2.0,3.0,5.0,2.0,3.0,4.0,5.0,1.0,8.0,2.0,3.0,3.0,8.0,3,3.0,2.0,4.0,3.0,4.0,4.0,1.0,4.0,6.0,2.0,2,5.0,5.0,1.0,5,5.0,5.0,1,2,2.0,3.0,1.0,5.0,3.0,2.0,1.0
4.0,2.0,2.0,4.0,2.0,3.0,8,3.0,1.0,4.0,5.0,4.0,3,6,2.0,3,6.0,5.0,4.0,8.0,2.0,6.0,1.0,2.0,1.0,2.0,4.0,6.0,4.0,3.0,3.0,5.0,1.0,7.0,2.0,2.0,3.0,7.0,3,4.0,1.0,1.0,4.0,4.0,4.0,2.0,1.0,6.0,2.0,2,6.0,6.0,2.0,5,3.0,5.0,0,2,2.0,3.0,1.0,3.0,4.0,2.0,1.0
4.0,2.0,3.0,3.0,3.0,2.0,12,2.0,1.0,6.0,9.0,3.0,1,1,1.0,0,6.0,10.0,4.0,8.0,1.0,3.0,1.0,2.0,1.0,2.0,3.0,8.0,3.0,1.0,3.0,9.0,1.0,9.0,2.0,3.0,1.0,9.0,1,2.0,3.0,1.0,4.0,3.0,3.0,2.0,6.0,3.0,2.0,1,6.0,5.0,1.0,6,3.0,7.0,1,2,2.0,3.0,2.0,2.0,3.0,2.0,2.0
3.0,3.0,3.0,2.0,2.0,3.0,15,4.0,1.0,1.0,9.0,5.0,1,1,3.0,1,6.0,7.0,3.0,7.0,2.0,6.0,7.0,5.0,1.0,3.0,3.0,7.0,2.0,1.0,3.0,6.0,4.0,6.0,2.0,2.0,4.0,6.0,2,4.0,3.0,7.0,3.0,3.0,3.0,2.0,7.0,6.0,2.0,1,5.0,5.0,1.0,2,5.0,6.0,1,2,5.0,2.0,1.0,4.0,3.0,2.0,2.0
3.0,3.0,4.0,2.0,1.0,3.0,8,2.0,1.0,1.0,8.0,4.0,2,6,2.0,3,4.0,4.0,3.0,8.0,1.0,5.0,7.0,5.0,1.0,4.0,4.0,5.0,3.0,1.0,4.0,6.0,1.0,6.0,2.0,3.0,2.0,6.0,2,3.0,1.0,7.0,4.0,4.0,4.0,5.0,7.0,6.0,5.0,1,6.0,6.0,2.0,2,3.0,6.0,1,2,5.0,2.0,1.0,2.0,3.0,1.0,1.0
2.0,2.0,1.0,2.0,3.0,2.0,11,2.0,1.0,6.0,7.0,4.0,1,1,2.0,2,4.0,7.0,4.0,7.0,1.0,6.0,7.0,5.0,1.0,2.0,3.0,8.0,1.0,6.0,4.0,6.0,4.0,8.0,2.0,1.0,2.0,8.0,6,4.0,2.0,7.0,3.0,3.0,5.0,1.0,7.0,6.0,5.0,2,5.0,5.0,1.0,3,4.0,7.0,1,2,5.0,3.0,1.0,4.0,3.0,2.0,1.0
2.0,1.0,4.0,1.0,3.0,2.0,11,2.0,1.0,6.0,7.0,4.0,2,2,2.0,1,4.0,7.0,4.0,7.0,2.0,6.0,1.0,2.0,1.0,2.0,3.0,8.0,1.0,6.0,4.0,6.0,1.0,8.0,2.0,1.0,2.0,8.0,6,4.0,2.0,7.0,3.0,3.0,5.0,5.0,1.0,6.0,5.0,2,5.0,5.0,1.0,3,4.0,7.0,1,2,2.0,3.0,1.0,4.0,3.0,1.0,1.0
2.0,2.0,4.0,2.0,3.0,2.0,6,2.0,1.0,6.0,7.0,4.0,4,6,2.0,3,4.0,7.0,4.0,7.0,1.0,6.0,7.0,5.0,1.0,2.0,3.0,8.0,1.0,6.0,4.0,7.0,1.0,8.0,1.0,1.0,2.0,8.0,6,4.0,1.0,7.0,3.0,3.0,5.0,2.0,7.0,6.0,5.0,2,5.0,5.0,1.0,3,4.0,7.0,1,2,5.0,3.0,1.0,3.0,3.0,1.0,1.0
2.0,2.0,4.0,2.0,3.0,2.0,8,2.0,1.0,6.0,7.0,4.0,5,6,2.0,3,4.0,7.0,4.0,7.0,1.0,6.0,7.0,5.0,1.0,2.0,3.0,8.0,1.0,6.0,4.0,7.0,1.0,8.0,1.0,1.0,2.0,8.0,6,4.0,1.0,7.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,2,5.0,5.0,1.0,3,5.0,7.0,1,2,5.0,3.0,1.0,2.0,3.0,1.0,1.0
2.0,1.0,1.0,2.0,3.0,2.0,7,2.0,1.0,6.0,7.0,4.0,6,6,2.0,3,4.0,7.0,4.0,7.0,1.0,6.0,7.0,5.0,1.0,2.0,3.0,8.0,1.0,6.0,4.0,6.0,1.0,8.0,1.0,1.0,2.0,8.0,6,4.0,1.0,7.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,2,5.0,5.0,1.0,3,4.0,7.0,1,2,5.0,3.0,1.0,2.0,3.0,1.0,1.0
1.0,1.0,4.0,1.0,3.0,2.0,13,1.0,1.0,2.0,10.0,5.0,1,1,1.0,0,6.0,10.0,4.0,8.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,10.0,1.0,1.0,4.0,10.0,1.0,10.0,2.0,1.0,1.0,10.0,1,4.0,6.0,1.0,3.0,3.0,4.0,5.0,1.0,6.0,1.0,1,5.0,6.0,2.0,4,5.0,9.0,1,2,1.0,3.0,2.0,6.0,3.0,2.0,2.0
4.0,2.0,1.0,4.0,3.0,1.0,12,4.0,1.0,4.0,9.0,5.0,1,1,1.0,2,6.0,8.0,4.0,7.0,1.0,5.0,1.0,2.0,1.0,2.0,4.0,8.0,3.0,2.0,4.0,9.0,1.0,8.0,2.0,3.0,2.0,8.0,2,4.0,2.0,1.0,3.0,4.0,4.0,1.0,1.0,6.0,2.0,1,5.0,5.0,2.0,2,3.0,5.0,0,2,2.0,2.0,1.0,2.0,3.0,2.0,2.0
4.0,2.0,2.0,4.0,3.0,3.0,12,4.0,1.0,6.0,9.0,5.0,2,2,1.0,1,6.0,9.0,4.0,7.0,1.0,6.0,7.0,5.0,1.0,1.0,3.0,8.0,5.0,2.0,4.0,8.0,4.0,8.0,2.0,4.0,2.0,8.0,2,4.0,2.0,7.0,3.0,3.0,4.0,3.0,7.0,6.0,5.0,1,5.0,5.0,1.0,2,4.0,5.0,1,2,5.0,3.0,1.0,4.0,3.0,2.0,1.0
2.0,2.0,1.0,3.0,1.0,2.0,12,1.0,1.0,1.0,9.0,3.0,1,1,1.0,2,3.0,8.0,1.0,7.0,2.0,4.0,1.0,1.0,1.0,1.0,3.0,9.0,2.0,3.0,4.0,9.0,1.0,9.0,2.0,3.0,1.0,9.0,3,3.0,2.0,1.0,3.0,3.0,3.0,2.0,1.0,4.0,2.0,2,5.0,5.0,2.0,6,4.0,6.0,0,2,2.0,2.0,1.0,2.0,3.0,2.0,1.0
2.0,2.0,1.0,2.0,2.0,2.0,12,2.0,1.0,1.0,10.0,3.0,2,2,1.0,1,6.0,9.0,4.0,7.0,2.0,6.0,4.0,3.0,1.0,2.0,3.0,9.0,1.0,3.0,4.0,9.0,1.0,9.0,2.0,2.0,1.0,9.0,3,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,2.0,2,5.0,5.0,2.0,6,5.0,9.0,0,2,2.0,2.0,2.0,2.0,3.0,2.0,1.0
2.0,2.0,1.0,2.0,3.0,2.0,9,2.0,1.0,1.0,10.0,5.0,3,6,1.0,3,3.0,8.0,4.0,7.0,2.0,6.0,1.0,1.0,1.0,2.0,3.0,9.0,4.0,3.0,4.0,10.0,1.0,9.0,2.0,3.0,1.0,9.0,3,4.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,6.0,1.0,2,5.0,5.0,2.0,6,5.0,8.0,0,2,1.0,3.0,1.0,3.0,3.0,2.0,1.0
2.0,1.0,1.0,2.0,3.0,3.0,12,1.0,1.0,1.0,10.0,5.0,1,1,1.0,2,6.0,8.0,4.0,8.0,2.0,6.0,1.0,1.0,1.0,1.0,3.0,7.0,1.0,4.0,4.0,8.0,1.0,8.0,2.0,1.0,1.0,8.0,4,4.0,2.0,1.0,4.0,4.0,4.0,2.0,1.0,6.0,1.0,1,5.0,6.0,2.0,8,5.0,8.0,1,2,1.0,3.0,2.0,5.0,3.0,2.0,2.0
2.0,1.0,1.0,2.0,1.0,3.0,11,2.0,1.0,1.0,8.0,4.0,2,2,1.0,1,6.0,7.0,4.0,8.0,2.0,4.0,1.0,2.0,1.0,1.0,3.0,9.0,2.0,4.0,4.0,8.0,1.0,8.0,2.0,2.0,1.0,8.0,4,3.0,2.0,1.0,4.0,4.0,4.0,1.0,1.0,6.0,2.0,1,6.0,5.0,2.0,8,5.0,2.0,1,2,2.0,3.0,2.0,4.0,4.0,2.0,2.0
1.0,2.0,1.0,1.0,3.0,3.0,7,2.0,1.0,2.0,10.0,4.0,3,6,2.0,3,5.0,0.0,4.0,8.0,2.0,4.0,2.0,3.0,1.0,2.0,4.0,7.0,1.0,4.0,4.0,10.0,1.0,10.0,1.0,4.0,1.0,10.0,4,3.0,1.0,7.0,4.0,4.0,4.0,3.0,7.0,4.0,5.0,1,6.0,6.0,2.0,8,4.0,7.0,1,2,5.0,3.0,2.0,2.0,4.0,1.0,1.0
2.0,2.0,4.0,2.0,2.0,3.0,6,2.0,1.0,4.0,7.0,4.0,4,6,1.0,3,6.0,6.0,4.0,8.0,1.0,5.0,7.0,5.0,1.0,3.0,4.0,7.0,1.0,4.0,4.0,10.0,1.0,10.0,1.0,1.0,1.0,10.0,4,4.0,1.0,7.0,4.0,4.0,3.0,2.0,7.0,6.0,5.0,1,6.0,6.0,1.0,8,3.0,5.0,1,2,5.0,3.0,2.0,2.0,4.0,1.0,1.0
4.0,2.0,4.0,4.0,2.0,1.0,15,2.0,1.0,1.0,7.0,5.0,1,1,2.0,0,6.0,5.0,4.0,7.0,2.0,6.0,2.0,5.0,4.0,4.0,3.0,5.0,2.0,1.0,4.0,5.0,4.0,5.0,2.0,3.0,4.0,5.0,1,4.0,6.0,2.0,3.0,3.0,4.0,2.0,3.0,6.0,5.0,1,5.0,5.0,1.0,6,4.0,6.0,1,2,5.0,3.0,1.0,5.0,3.0,2.0,2.0
1.0,4.0,4.0,4.0,3.0,4.0,11,1.0,1.0,2.0,9.0,5.0,1,1,1.0,0,4.0,8.0,4.0,7.0,1.0,6.0,6.0,5.0,1.0,1.0,3.0,9.0,2.0,1.0,4.0,8.0,4.0,8.0,1.0,3.0,1.0,8.0,1,4.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,6.0,2.0,1,5.0,5.0,2.0,3,5.0,7.0,1,2,3.0,1.0,1.0,4.0,3.0,2.0,2.0
2.0,1.0,4.0,2.0,3.0,2.0,15,1.0,1.0,1.0,7.0,5.0,1,1,2.0,0,6.0,6.0,4.0,7.0,2.0,6.0,1.0,2.0,3.0,3.0,3.0,7.0,1.0,1.0,4.0,7.0,3.0,6.0,2.0,2.0,3.0,6.0,1,2.0,6.0,2.0,3.0,3.0,4.0,2.0,2.0,5.0,2.0,1,5.0,5.0,2.0,6,5.0,5.0,1,2,2.0,3.0,1.0,1.0,3.0,2.0,1.0
2.0,1.0,1.0,2.0,2.0,2.0,12,2.0,1.0,1.0,10.0,3.0,1,1,1.0,2,4.0,10.0,4.0,8.0,2.0,6.0,2.0,2.0,1.0,2.0,4.0,9.0,1.0,4.0,4.0,9.0,1.0,9.0,2.0,2.0,2.0,9.0,4,4.0,2.0,2.0,4.0,4.0,3.0,1.0,2.0,6.0,2.0,2,6.0,6.0,2.0,7,5.0,6.0,1,2,2.0,3.0,2.0,5.0,4.0,2.0,1.0
1.0,1.0,1.0,1.0,2.0,2.0,11,2.0,1.0,1.0,10.0,4.0,2,2,1.0,1,4.0,10.0,4.0,8.0,2.0,6.0,1.0,1.0,1.0,2.0,4.0,10.0,2.0,4.0,4.0,10.0,1.0,10.0,2.0,2.0,1.0,10.0,4,4.0,2.0,1.0,4.0,4.0,3.0,1.0,1.0,6.0,1.0,2,6.0,6.0,2.0,7,5.0,10.0,1,2,2.0,3.0,2.0,6.0,4.0,2.0,2.0
2.0,1.0,4.0,2.0,3.0,2.0,6,1.0,1.0,2.0,10.0,4.0,4,6,2.0,3,4.0,9.0,4.0,8.0,1.0,6.0,7.0,5.0,1.0,2.0,4.0,8.0,3.0,4.0,4.0,10.0,2.0,9.0,1.0,4.0,2.0,9.0,4,4.0,1.0,7.0,4.0,4.0,3.0,2.0,3.0,6.0,5.0,2,6.0,5.0,2.0,7,5.0,5.0,1,2,2.0,3.0,2.0,4.0,4.0,1.0,1.0
1.0,1.0,1.0,1.0,3.0,3.0,11,1.0,1.0,2.0,10.0,5.0,1,1,1.0,2,4.0,10.0,4.0,8.0,2.0,6.0,1.0,1.0,1.0,1.0,4.0,7.0,1.0,3.0,4.0,8.0,1.0,4.0,2.0,2.0,1.0,8.0,3,4.0,2.0,1.0,4.0,4.0,5.0,2.0,2.0,6.0,2.0,2,6.0,6.0,2.0,6,5.0,4.0,1,2,3.0,3.0,2.0,5.0,4.0,2.0,2.0
1.0,1.0,1.0,1.0,1.0,3.0,11,1.0,1.0,1.0,9.0,3.0,2,2,1.0,1,4.0,9.0,4.0,8.0,2.0,5.0,1.0,2.0,1.0,1.0,3.0,7.0,2.0,3.0,3.0,4.0,1.0,2.0,2.0,2.0,1.0,6.0,3,3.0,2.0,3.0,4.0,4.0,3.0,5.0,7.0,5.0,2.0,2,6.0,6.0,2.0,6,5.0,1.0,1,2,5.0,3.0,2.0,3.0,4.0,2.0,2.0
2.0,2.0,2.0,2.0,1.0,2.0,8,2.0,1.0,6.0,7.0,3.0,2,6,3.0,3,4.0,7.0,4.0,7.0,2.0,5.0,1.0,2.0,1.0,2.0,4.0,7.0,2.0,2.0,4.0,8.0,1.0,8.0,2.0,3.0,3.0,8.0,2,4.0,1.0,7.0,3.0,3.0,5.0,5.0,7.0,6.0,5.0,2,5.0,5.0,1.0,5,5.0,0.0,1,2,5.0,3.0,1.0,4.0,3.0,2.0,1.0
2.0,2.0,1.0,2.0,2.0,2.0,14,4.0,1.0,4.0,7.0,5.0,1,1,3.0,0,4.0,7.0,4.0,7.0,2.0,5.0,1.0,5.0,3.0,2.0,3.0,7.0,2.0,1.0,4.0,6.0,3.0,6.0,2.0,2.0,3.0,6.0,1,4.0,1.0,6.0,3.0,3.0,3.0,1.0,6.0,5.0,5.0,1,5.0,5.0,1.0,8,5.0,5.0,0,2,5.0,3.0,2.0,4.0,3.0,2.0,1.0
3.0,3.0,1.0,2.0,2.0,4.0,12,1.0,1.0,2.0,9.0,5.0,1,1,2.0,1,6.0,9.0,4.0,7.0,2.0,6.0,6.0,2.0,1.0,3.0,3.0,7.0,4.0,3.0,2.0,10.0,4.0,10.0,2.0,4.0,2.0,10.0,2,3.0,3.0,7.0,3.0,4.0,2.0,2.0,7.0,6.0,5.0,1,5.0,5.0,1.0,4,2.0,3.0,0,2,5.0,3.0,2.0,6.0,3.0,2.0,1.0
2.0,2.0,2.0,2.0,2.0,2.0,9,2.0,1.0,2.0,10.0,5.0,2,6,1.0,3,4.0,10.0,2.0,8.0,2.0,3.0,7.0,5.0,1.0,2.0,3.0,7.0,3.0,3.0,2.0,10.0,1.0,10.0,2.0,3.0,1.0,8.0,2,3.0,1.0,7.0,3.0,4.0,3.0,2.0,7.0,3.0,5.0,1,6.0,6.0,2.0,4,3.0,1.0,1,2,5.0,3.0,2.0,2.0,4.0,2.0,2.0
3.0,1.0,1.0,3.0,3.0,2.0,9,3.0,1.0,5.0,8.0,5.0,1,1,3.0,0,6.0,1.0,4.0,8.0,2.0,6.0,1.0,2.0,1.0,2.0,3.0,4.0,1.0,1.0,4.0,4.0,1.0,5.0,2.0,1.0,2.0,5.0,1,4.0,1.0,4.0,3.0,3.0,5.0,3.0,4.0,6.0,3.0,1,5.0,6.0,2.0,4,5.0,1.0,1,2,3.0,2.0,2.0,3.0,3.0,2.0,1.0
3.0,2.0,1.0,4.0,2.0,4.0,13,2.0,1.0,2.0,7.0,4.0,1,1,1.0,0,6.0,7.0,2.0,7.0,2.0,5.0,7.0,5.0,1.0,2.0,3.0,7.0,2.0,1.0,4.0,7.0,1.0,7.0,2.0,2.0,1.0,7.0,1,4.0,1.0,7.0,3.0,3.0,4.0,1.0,6.0,6.0,5.0,1,5.0,6.0,2.0,8,5.0,6.0,0,2,5.0,3.0,2.0,5.0,3.0,2.0,1.0
4.0,2.0,4.0,4.0,1.0,4.0,15,4.0,6.0,6.0,1.0,5.0,1,1,2.0,0,4.0,1.0,2.0,7.0,2.0,6.0,5.0,2.0,4.0,2.0,3.0,7.0,3.0,2.0,2.0,0.0,4.0,7.0,2.0,2.0,2.0,1.0,1,4.0,6.0,2.0,3.0,3.0,3.0,5.0,5.0,6.0,3.0,1,5.0,5.0,1.0,3,3.0,1.0,0,1,3.0,2.0,1.0,6.0,3.0,1.0,2.0
2.0,1.0,1.0,2.0,2.0,3.0,14,4.0,1.0,6.0,7.0,4.0,1,1,1.0,0,4.0,7.0,4.0,7.0,2.0,6.0,1.0,2.0,1.0,4.0,3.0,7.0,2.0,1.0,4.0,6.0,4.0,6.0,2.0,3.0,1.0,6.0,1,4.0,6.0,1.0,3.0,3.0,4.0,1.0,1.0,6.0,2.0,1,5.0,5.0,1.0,4,4.0,6.0,1,2,2.0,3.0,2.0,4.0,3.0,2.0,1.0
1.0,1.0,3.0,1.0,3.0,3.0,12,2.0,1.0,1.0,10.0,5.0,1,1,1.0,2,6.0,10.0,4.0,7.0,1.0,5.0,7.0,5.0,1.0,1.0,3.0,9.0,1.0,3.0,4.0,9.0,1.0,9.0,2.0,1.0,1.0,9.0,3,4.0,2.0,7.0,3.0,3.0,3.0,2.0,7.0,6.0,5.0,1,6.0,5.0,1.0,6,5.0,9.0,0,2,5.0,3.0,2.0,4.0,3.0,2.0,1.0
